"0","1"
"Epzicom","Drug hypersensitivitya,b|Insomnia|Depression/Depressed mood|Headache/Migraine|Fatigue/Malaise|Dizziness/Vertigo|Nausea|Diarrheaa|Rash|Pyrexia|Abdominal pain/gastritis|Abnormal dreams|Anxiety"
"Equetro","Dizziness|Somnolence|Nausea|Vomiting|Ataxia|Constipation|Pruritus|Dry Mouth|Asthenia|Rash|Blurred vision|Speech Disorder|Hypertension|Paresthesia|Thinking abnormal|Tremor|Twitching|Vertigo"
"Eraxis","Gastrointestinal disorders|Nausea|Diarrhea|Vomiting|Constipation|Abdominal pain|General disorders and administration site conditions|Pyrexia|Edema peripheral|Chest pain|Respiratory, thoracic, and mediastinal disorders|Dyspnea|Pleural effusion|Cough|Respiratory distress|Investigations|Blood alkaline phosphatase increased|White blood cell increased|Hepatic enzyme increased|Blood creatinine increased|Metabolism and nutrition disorders|Hypokalemia|Hypomagnesemia|Hypoglycemia|Hyperkalemia|Hyperglycemia|Dehydration|Vascular disorders|Hypotension|Hypertension|Deep vein thrombosis|Psychiatric disorders|Insomnia|Confusional state|Depression|Blood and lymphatic system disorders|Anemia|Thrombocythemia|Leukocytosis|Skin and subcutaneous tissue disorders|Decubitus ulcer|Nervous system disorders|Headache|Musculoskeletal and connective tissue disorders|Back pain"
"Erbitux","Asthenia|Feverc|Headache|Chillsc|Infusion Reactiond|Infection|Nausea|Emesis|Diarrhea|Dyspepsia|Weight Loss|Dehydration|Increased Alanine Transaminasee|Increased Aspartate Transaminasee|Increased Alkaline Phosphatasee|Pharyngitis|Acneiform Rashf|Radiation Dermatitis|Application Site Reaction|Pruritus"
"Erleada","Musculoskeletal and connective tissue disorders|Skin and subcutaneous tissue disorders|RashIncludes rash, rash maculo-papular, rash generalized, urticaria, rash pruritic, rash macular, conjunctivitis, erythema multiforme, rash papular, skin exfoliation, genital rash, rash erythematous, stomatitis, drug eruption, mouth ulceration, rash pustular, blister, papule, pemphigoid, skin erosion, dermatitis, and rash vesicular|Pruritus|Vascular disorders|Hot flush|Hypertension"
"Erlotinib","Rash â€¡|Diarrhea|Cough|Dyspnea|Dry skin|Back pain|Chest pain|Conjunctivitis|Mucosal inflammation|Pruritus|Paronychia|Arthralgia|Musculoskeletal pain|Rashâ€¡|Rash2|Rash Rash as a composite term includes rash, acne, folliculitis, erythema, acneiform dermatitis, dermatitis, palmar-plantar erythrodysesthesia syndrome, exfoliative rash, erythematous rash, rash pruritic, skin toxicity, eczema, follicular rash, skin ulcer."
"Erlotinib Hydrochloride","Rashâ€¡|Diarrhea|Cough|Dyspnea|Dry skin|Back pain|Chest pain|Conjunctivitis|Mucosal inflammation|Pruritus|Paronychia|Arthralgia|Musculoskeletal pain|RashRash as a composite term includes rash, acne, folliculitis, erythema, acneiform dermatitis, dermatitis, palmar-plantar erythrodysesthesia syndrome, exfoliative rash, erythematous rash, rash pruritic, skin toxicity, eczema, follicular rash, skin ulcer."
"Ertapenem","Local:|Infused vein complication|Systemic:|Death|Edema/swelling|Fever|Abdominal pain|Hypotension|Constipation|Diarrhea|Nausea|Vomiting|Altered mental statusIncludes agitation, confusion, disorientation, decreased mental acuity, changed mental status, somnolence, stupor|Dizziness|Headache|Insomnia|Dyspnea|Pruritus|Rash|Vaginitis|Altered mental status Includes agitation, confusion, disorientation, decreased mental acuity, changed mental status, somnolence, stupor|Altered mental statusâ€¡|Altered mental status â€¡"
"Ertapenem Sodium","Local:|Infused vein complication|Systemic:|Death|Edema/swelling|Fever|Abdominal pain|Hypotension|Constipation|Diarrhea|Nausea|Vomiting|Altered mental status Includes agitation, confusion, disorientation, decreased mental acuity, changed mental status, somnolence, stupor|Dizziness|Headache|Insomnia|Dyspnea|Pruritus|Rash|Vaginitis"
"Esbriet","Nausea|Rash|Abdominal PainIncludes abdominal pain, upper abdominal pain, abdominal distension, and stomach discomfort.|Upper Respiratory Tract Infection|Diarrhea|Fatigue|Headache|Decreased Appetite|Dyspepsia|Dizziness|Vomiting|Gastro-esophageal Reflux Disease|Sinusitis|Insomnia|Weight Decreased|Arthralgia"
"Escitalopram","Autonomic Nervous System Disorders|Dry Mouth|Sweating Increased|Central & Peripheral Nervous System Disorders|Dizziness|Gastrointestinal Disorders|Nausea|Diarrhea|Constipation|Indigestion|Abdominal Pain|General|Influenza-like Symptoms|Fatigue|Psychiatric Disorders|Insomnia|Somnolence|Appetite Decreased|Libido Decreased|Respiratory System Disorders|Rhinitis|Sinusitis|Urogenital|Ejaculation Disorder 1,2|Impotence 2|Anorgasmia 3|TABLE 2|Ejaculation Disorder1,2|Impotence2|Anorgasmia3|Impotence"
"Escitalopram Oxalate","Dry Mouth|Sweating Increased|Dizziness|Nausea|Diarrhea|Constipation|Indigestion|Abdominal Pain|Influenza-like Symptoms|Fatigue|Insomnia|Somnolence|Appetite Decreased|Libido Decreased|Rhinitis|Sinusitis|Ejaculation Disorder1,2|Impotence2|Anorgasmia3|TABLE 2|Autonomic Nervous System Disorders|Gastrointestinal Disorders|General|Psychiatric Disorders|Apetite Decreased|Respiratory System Disorders|Sinustis|Urogenital|Ejaculation Disorder 1,2|Impotence 2|Anorgasmia 3|Central & Peripheral Nervous System Disorders|Impotence|TABLE 4"
"Esmolol Hydrochloride","VASCULAR DISORDERS"
"Esomeprazole Sodium","Headache|Flatulence|Nausea|Abdominal pain|Diarrhea|Mouth dry|Dizziness/vertigo|Constipation|Injection site reaction|Pruritus"
"Estazolam","Headache|Asthenia|Malaise|Lower extremity pain|Back pain|Body pain|Abdominal pain|Chest pain|Digestive System|Nausea|Dyspepsia|Musculoskeletal System|Stiffness|Nervous System|Somnolence|Hypokinesia|Nervousness|Dizziness|Coordination abnormal|Hangover|Confusion|Depression|Dream abnormal|Thinking abnormal|Respiratory System|Cold symptoms|Pharyngitis|Skin and Appendages|Pruritus"
"Estradiol","Back Pain|Digestive System|Diarrhea|Urogenital System|Vulvovaginal Mycotic Infection|Vulvovaginal Pruritus|Digestive System Abdominal Pain Nausea Flatulence|Musculoskeletal System Arthralgia|Nervous System Depression|Urogenital System Breast Pain Leukorrhea|Respiratory System URTI Pharyngitis Sinusitis Rhinitis|Skin and Appendages Pruritus|Constipation|Dyspepsia|Nausea|Influenza-like illness|Pain NOSNOS represents not otherwise specified|Influenza|Nasopharyngitis|Sinusitis NOS|Upper respiratory tract infection NOS|Weight increased|Arthralgia|Back pain|Neck pain|Pain in limb|Headache NOS|Sinus headache|Anxiety NECNEC represents not elsewhere classified|Depression|Insomnia|Breast tenderness|Dysmenorrhea|Intermenstrual bleeding|Sinus congestion|Hot flushes NOS|Hypertension NOS|Pain NOS*|Sinusitis NOS*|Upper respiratory tract infection NOS*|Headache NOS*|Anxiety NEC**|Hot flushes NOS*|Hypertension NOS*"
"Estradiol / Norethindrone Acetate","Back Pain|Headache|Nausea|Gastroenteritis|Insomnia|Emotional Lability|Upper Respiratory Tract Infection|Sinusitis|Breast Pain|Post-Menopausal Bleeding|Uterine Fibroid|Ovarian Cyst|Infection Viral|Moniliasis Genital|Injury Accidental|Other Events"
"Estradiol And Norethindrone Acetate","Back Pain|Headache|Digestive System|Nausea|Gastroenteritis|Nervous System|Insomnia|Emotional Lability|Respiratory System|Upper Respiratory Tract Infection|Sinusitis|Metabolic and Nutritional|Urogenital System|Breast Pain|Post-Menopausal Bleeding|Uterine Fibroid|Ovarian Cyst|Resistance Mechanism|Infection Viral|Moniliasis Genital|Secondary Terms|Injury Accidental|Other Events|Pain in extremity|Digestive System Nausea|Diarrhea|Respiratory System Nasopharyngitis|Urogenital System Endometrial thickening|Vaginal hemorrhage"
"Estradiol And Progesterone","Breast tenderness|Headache|Nausea|Vaginal bleeding|Vaginal discharge|Pelvic pain"
"Estradiol Vaginal Inserts","Back Pain|Digestive System|Diarrhea|Urogenital System|Vulvovaginal Mycotic Infection|Vulvovaginal Pruritus"
"Estring","Back Pain|Arthritis|Arthralgia|Skeletal Pain|Headache|Insomnia|Abdominal Pain|Nausea|Upper Respiratory Tract Infection|Sinusitis|Pharyngitis|Urinary Tract Infection|Leukorrhea|Vaginitis|Vaginal Discomfort/Pain|Vaginal Hemorrhage|Asymptomatic Genital Bacterial Growth|Breast Pain|Genital Moniliasis|Flu-Like Symptoms|Hot Flushes|Allergy|Family Stress"
"Eszopiclone","Headache|Viral Infection|Digestive System|Dry Mouth|Dyspepsia|Nausea|Vomiting|Nervous System|Anxiety|Confusion|Depression|Dizziness|Hallucinations|Libido Decreased|Nervousness|Somnolence|Respiratory System|Infection|Skin and Appendages|Rash|Special Senses|Unpleasant Taste|Urogenital System|Dysmenorrhea *|Gynecomastia **|Dysmenorrhea â€ |Gynecomastia â€¡|Gynecomastiaâ€ |Dysmenorrhea*"
"Ethambutol Hydrochloride","20/13|20/15|20/20|20/25|20/30|20/40|20/50"
"Ethyol","Nausea/Vomiting â‰¥Grade 3 All Grades|Hypotension â‰¥Grade 3 All Grades"
"Etoposide","Hematologic toxicity|Leukopenia (less than 1,000 WBC/mm 3)|Leukopenia (less than 4,000 WBC/mm 3)|Thrombocytopenia (less than 50,000 platelets/mm 3)|Thrombocytopenia (less than 100,000 platelets/mm 3)|Anemia|Gastrointestinal toxicity|Nausea and vomiting|Abdominal pain|Anorexia|Diarrhea|Stomatitis|Hepatic|Alopecia|Peripheral neurotoxicity|Hypotension|Allergic reaction|Hematologic toxicity Leukopenia (less than 1,000 WBC/mm3) Leukopenia (less than 4,000 WBC/mm3) Thrombocytopenia (less than 50,000 platelets/mm3) Thrombocytopenia (less than 100,000 platelets/mm3) Anemia|Gastrointestinal toxicity Nausea and vomiting Abdominal pain Anorexia Diarrhea Stomatitis Hepatic|Alopecia Peripheral neurotoxicity Hypotension Allergic reaction|Leukopenia (less than 1,000 WBC/mm3)|Leukopenia (less than 4,000 WBC/mm3)|Thrombocytopenia (less than 50,000 platelets/mm3)|Thrombocytopenia (less than 100,000 platelets/mm3)"
"Etravirine","Rash|Peripheral neuropathy"
"Eucrisa","Application site painRefers to skin sensations such as burning or stinging."
"Evamist","Breast tenderness|Nipple pain|Nausea|Nasopharyngitis|Back pain|Arthralgia|Headache"
"Evekeo Odt","Decreased appetite|Abdominal pain|Affect LabilityIncludes mood swings.|Insomnia|Injury"
"Evenity","Arthralgia|Headache|Muscle spasms|Edema peripheral|Asthenia|Neck pain|Insomnia|Paresthesia"
"Everolimus","Stomatitisa|Diarrhea|Nausea|Vomiting|Constipation|Dry mouth|Fatigue|Edema peripheral|Pyrexia|Asthenia|Infectionsb|Weight loss|Decreased appetite|Hyperglycemia|Arthralgia|Back pain|Pain in extremity|Dysgeusia|Headache|Insomnia|Cough|Dyspnea|Epistaxis|Pneumonitisc|Rash|Pruritus|Alopecia|Hot flush|StomatitisIncludes stomatitis, mouth ulceration, aphthous stomatitis, glossodynia, gingival pain, glossitis, and lip ulceration.|InfectionsIncludes all reported infections, including, but not limited to, urinary tract infections, respiratory tract (upper and lower) infections, skin infections, and gastrointestinal tract infections.|PneumonitisIncludes pneumonitis, interstitial lung disease, lung infiltration, and pulmonary fibrosis.|Blood Lymphatic System Disorders|Anemia|Leukopenia|Gastrointestinal Disorders|Abdominal pain|Dyspepsia|Abdominal pain upper|General Disorders and Administrative site Conditions|Edema Peripheral|Infections and Infestations|Urinary Tract Infection|Upper Respiratory Tract Infection|Injury, Poisoning and Procedural Complications|Incision site pain|Procedural pain|Investigations|Blood creatinine Increased|Metabolism and Nutrition Disorders|Hyperlipidemia|Hyperkalemia|Hypercholesterolemia|Dyslipidemia|Hypomagnesemia|Hypophosphatemia|Hypokalemia|Musculoskeletal and Connective Tissue Disorders|Pain in Extremity|Nervous System Disorders|Tremor|Psychiatric Disorders|Renal and Urinary Disorders|Hematuria|Dysuria|Respiratory, Thoracic and Mediastinal Disorders|Vascular Disorders|Hypertension|Gastrointestinal|General|Infections|Metabolism and nutrition|Musculoskeletal and connective tissue|Nervous system|Psychiatric|Respiratory, thoracic and mediastinal|Skin and subcutaneous tissue|Vascular|General Disorders and Administrative|site conditions|Blood Creatinine Increased|Back Pain|Vascular disorders|Abdominal Pain|Abdominal Pain Upper|General Disorders And Administrative Site Conditions|Infections And Infestations|Injury, Poisoning And Procedural Complications|Incision Site Pain|Procedural Pain|Metabolism And Nutrition Disorders|Musculoskeletal And Connective Tissue Disorders|Pain In Extremity|Renal And Urinary Disorders"
"Evista","Infection|Flu Syndrome|Headache|Leg Cramps|Chest Pain|Fever|Hot Flashes|Migraine|Syncope|Varicose Vein|Nausea|Diarrhea|Dyspepsia|Vomiting|Flatulence|Gastrointestinal Disorder|Gastroenteritis|Weight Gain|Peripheral Edema|Arthralgia|Myalgia|Arthritis|Tendon Disorder|Depression|Insomnia|Vertigo|Neuralgia|Hypesthesia|Sinusitis|Rhinitis|Bronchitis|Pharyngitis|Cough Increased|Pneumonia|Laryngitis|Rash|Sweating|Conjunctivitis|Vaginitis|Urinary Tract Infection|Cystitis|Leukorrhea|Uterine Disorderb, c|Endometrial Disorderb|Vaginal Hemorrhage|Urinary Tract Disorder"
"Evkeeza","Nasopharyngitis|Influenza like illness|Dizziness|Rhinorrhea|Nausea|Pain in extremity|Asthenia"
"Evotaz","Jaundice|Rashb|Ocular icterus|Nausea|Diarrhea|Headache"
"Evoxac","Excessive Sweating|Nausea|Rhinitis|Diarrhea|Excessive Salivation|Urinary Frequency|Asthenia|Flushing|Polyuria"
"Evrysdi","FeverIncludes pyrexia and hyperpyrexia.|Diarrhea|RashIncludes rash, erythema, rash maculo-papular, rash erythematous, rash papular, dermatitis allergic, and folliculitis.|Mouth and aphthous ulcers|Arthralgia|Urinary tract infectionIncludes urinary tract infection and cystitis."
"Exelon","Total Patients Studied|Nausea|Vomiting*|Diarrhea|Depression|Headache|Anxiety|Anorexia/Decreased Appetite|Weight Decreased**|Dizziness|Abdominal Pain|Urinary Tract Infection|Asthenia|Fatigue|Insomnia|Abdominal Pain Upper|Vertigo"
"Exemestane","Eye|Visual disturbancesEvent actively sought.|Gastrointestinal|Nausea|General Disorders|Fatigue|Musculoskeletal|Arthralgia|Pain in limb|Back pain|Osteoarthritis|Nervous System|Headache|Dizziness|Psychiatric|Insomnia|Depression|Skin & Subcutaneous Tissue|Increased sweating|Vascular|Hot flushes|Hypertension|Visual disturbances3|Nausea3|Fatigue3|Headache3|Dizziness3|Insomnia3|Increased sweating3|Hot flushes3|2 75 patients received tamoxifen 30 mg daily;|3 Event actively sought.|Eye Visual disturbances3|Gastrointestinal Nausea3|General Disorders Fatigue3|Musculoskeletal Arthralgia Pain in limb Back pain Osteoarthritis|Nervous System Headache3 Dizziness3|Psychiatric Insomnia3 Depression|Skin & Subcutaneous Tissue Increased sweating3|Vascular Hot flushes3 Hypertension|275 patients received tamoxifen 30 mg daily;|3Event actively sought."
"Exforge Hct","Dizziness|Edema|Headache|Dyspepsia|Fatigue|Muscle spasms|Back pain|Nausea|Nasopharyngitis"
"Exjade","Abdominal Painb|Diarrhea|Creatinine Increasedc|Nausea|Vomiting|Rash"
"Exkivity","Diarrhea|StomatitisStomatitis includes angular cheilitis, aphthous ulcer, cheilitis, mouth ulceration, mucosal inflammation, odynophagia, and stomatitis.|Vomiting|Decreased appetite|Nausea|Decreased weight|Abdominal painAbdominal pain includes abdominal discomfort, abdominal pain, abdominal pain upper, abdominal tenderness, and gastrointestinal pain.|Gastroesophageal reflux disease|Dyspepsia|RashRash includes acne, dermatitis, dermatitis acneiform, rash, rash macular, rash maculo-papular, rash papular, rash pruritic, rash pustular, and urticaria.|ParonychiaParonychia includes nail bed tenderness, nail disorder, nail infection, onycholysis, and paronychia.|Dry skin|Pruritus|Alopecia|Musculoskeletal painMusculoskeletal pain includes arthralgia, back pain, musculoskeletal chest pain, musculoskeletal discomfort, musculoskeletal pain, myalgia, neck pain, non-cardiac chest pain, pain in extremity, and spinal pain.|FatigueFatigue includes asthenia, and fatigue.|CoughCough includes cough, productive cough, and upper-airway cough syndrome.|Upper respiratory tract infectionUpper respiratory tract infection includes nasopharyngitis, pharyngitis, respiratory tract infection, rhinitis, sinusitis, and upper respiratory tract infection.|DyspneaDyspnea includes dyspnea, and dyspnea exertional.|Rhinorrhea|Ocular ToxicityOcular toxicity includes dry eye, eye pruritis, abnormal sensation in eye, eye discharge, blepharitis, trichiasis, conjunctival hemorrhage, vitreous floaters, blurred vision and corneal edema.|QTc interval prolongationQTc interval prolongation includes electrocardiogram QT prolonged, and ventricular arrhythmia.|HypertensionHypertension includes blood pressure increased, and hypertension.|Headache"
"Exondys 51","Balance disorder|Vomiting|Contact dermatitis"
"Exparel","Any TEAE|Gastrointestinal Disorders|Nausea|Vomiting|Constipation|Anal Hemorrhage|Painful Defecation|Rectal Discharge|Nervous System Disorders|Dizziness|Headache|Somnolence|Syncope|Skin And Subcutaneous Tissue Disorders|Pruritus Generalized|Pruritus|Investigations|Alanine Aminotransferase Increased|Aspartate Aminotransferase Increased|Blood Creatinine Increased|Body Temperature Increased|General Disorders And Administration Site Conditions|Feeling Hot|Pyrexia|Infections And Infestations|Fungal Infection|Injury, Poisoning And Procedural Complications|Post Procedural Swelling|Metabolism And Nutrition Disorders|Decreased Appetite"
"Exservan","Asthenia|Nausea|Decreased lung function|Hypertension|Abdominal pain|Vomiting|Arthralgia|Dizziness|Dry mouth|Insomnia|Pruritus|Tachycardia|Flatulence|Increased cough|Peripheral edema|Urinary tract infection|Circumoral paresthesia|Somnolence|Vertigo|Eczema"
"Extavia","Blood and lymphatic system disorders|Lymphadenopathy|Nervous system disorders|Headache|Insomnia|Incoordination|Vascular disorders|Hypertension|Respiratory, thoracic, and mediastinal disorders|Dyspnea|Gastrointestinal disorders|Abdominal pain|Hepatobiliary disorders|Skin and subcutaneous tissue disorders|Rash|Skin disorder|Musculoskeletal and connective tissue disorders|Hypertonia|Myalgia|Renal and urinary disorders|Urinary urgency|Reproductive system and breast disorders|Metrorrhagia|Impotence|General disorders and administration-site conditions|Injection site reactiona|Asthenia|Flu-like symptoms (complex)b|Pain|Fever|Chills|Peripheral edema|Chest pain|Malaise|Injection site necrosis"
"Extina","Application site burning|Application site reaction"
"Eylea","Conjunctival hemorrhage|Eye pain|Cataract|Vitreous detachment|Vitreous floaters|Intraocular pressure increased|Ocular hyperemia|Corneal epithelium defect|Detachment of the retinal pigment epithelium|Injection site pain|Foreign body sensation in eyes|Lacrimation increased|Vision blurred|Intraocular inflammation|Retinal pigment epithelium tear|Injection site hemorrhage|Eyelid edema|Retinal detachment"
"Ezallor Sprinkle","Headache|Nausea|Myalgia|Asthenia|Constipation"
"Ezetimibe","Gastrointestinal disorders|Diarrhea|General disorders and administration site conditions|Fatigue|Infections and infestations|Influenza|Sinusitis|Upper respiratory tract infection|Musculoskeletal and connective tissue disorders|Arthralgia|Pain in extremity|Gastrointestinal disorders Diarrhea|General disorders and administration site conditions Fatigue|Infections and infestations Influenza Sinusitis Upper respiratory tract infection|Musculoskeletal and connective tissue disorders Arthralgia Pain in extremity"
"Ezetimibe And Simvastatin","Headache|Gastrointestinal system disorders|Diarrhea|Infections and infestations|Influenza|Upper respiratory tract infection|Musculoskeletal and connective tissue disorders|Myalgia|Pain in extremity|Gastrointestinal system disorders Diarrhea|Infections and infestations Influenza|Musculoskeletal and connective tissue disorders Myalgia|Gastrointestinal system disordersDiarrhea|Infections and infestationsInfluenza|Musculoskeletal and connective tissue disordersMyalgia"
"Fabior","Application site irritation|Application site dryness|Application site erythema|Application site exfoliation|Application site pain|Application site photosensitivity (including sunburn)|Application site pruritus|Application site dermatitis"
"Fabrazyme","Upper respiratory tract infectionIncludes reports of upper respiratory infection, nasal congestion, sinusitis, respiratory tract congestion, and pharyngitis.|ChillsIncludes reports of chills and feeling cold.|Pyrexia|Headache|Cough|Paresthesia|Fatigue|Peripheral edema|Dizziness|Rash|Pain in extremity|MyalgiaIncludes reports of myalgia and muscle spasms.|Lower respiratory tract infection|Pain|Back pain|Hypertension|Pruritus|Tachycardia|Excoriation|Increased blood creatinine|Tinnitus|Dyspnea|Fall|Burning sensation|Anxiety|Depression|Wheezing|Hypoacusis|Chest discomfort|Fungal infection|Viral infection|Hot flush"
"Famciclovir","Events|Headache|Paresthesia|Migraine|Nausea|Diarrhea|Vomiting|Flatulence|Abdominal Pain|Fatigue|Pruritus|Rash|Dysmenorrhea|Nervous System|Gastrointestinal|Skin and Appendages|Reproductive (Female)"
"Fanapt","Dictionary-derived Term|Arthralgia|Fatigue|Musculoskeletal Stiffness|Weight Increased|Cardiac Disorders|Tachycardia|Eye Disorders|Vision Blurred|Gastrointestinal Disorders|Nausea|Dry Mouth|Diarrhea|Abdominal Discomfort|Infections|Nasopharyngitis|Upper Respiratory Tract Infection|Nervous System Disorders|Dizziness|Somnolence|Extrapyramidal Disorder|Tremor|Lethargy|Reproductive System|Ejaculation Failure|Respiratory|Nasal Congestion|Dyspnea|Skin|Rash|Vascular Disorders|Orthostatic Hypotension|Hypotension"
"Fareston","Hot Flashes|Sweating|Nausea|Vaginal Discharge|Dizziness|Edema|Vomiting|Vaginal Bleeding"
"Farxiga","Nasopharyngitis|Back pain|Nausea|Influenza|Dyslipidemia|Constipation|Discomfort with urination|Pain in extremity"
"Farydak","Arrhythmia[3]|Diarrhea|Nausea|Vomiting|Fatigue[4]|Peripheral edema|Pyrexia|Weight decreased|Decreased appetite"
"Fasenra","Headache|Pyrexia|PharyngitisPharyngitis was defined by the following terms: â€˜Pharyngitisâ€™, â€˜Pharyngitis bacterialâ€™, â€˜Viral pharyngitisâ€™, â€˜Pharyngitis streptococcalâ€™.|Hypersensitivity reactionsHypersensitivity Reactions were defined by the following terms: â€˜Urticariaâ€™, â€˜Urticaria papularâ€™, and â€˜Rashâ€™ [see Warnings and Precautions (5.1)]."
"Faslodex","Injection Site PainIncluding more severe injection site related sciatica, neuralgia, neuropathic pain, and peripheral neuropathy.|Headache|Back Pain|Fatigue|Pain in Extremity|Asthenia|Hot Flash|Nausea|Vomiting|Anorexia|Constipation|Bone Pain|Arthralgia|Musculoskeletal Pain|Cough|Dyspnea"
"Febuxostat","Liver Function Abnormalities|Nausea|Arthralgia|Rash|A d verse Reactions|Liver Function Abn ormalities|N ausea|A dverse Reactions"
"Felbamate","Central Nervous SystemInsomniaHeadache Anxiety|DermatologicalAcne Rash|DigestiveDyspepsiaVomitingConstipationDiarrhea SGPT Increased|Metabolic/Nutritional Hypophosphatemia|RespiratoryUpper Respiratory Tract Infection Rhinitis|Special SensesDiplopia Otitis Media|UrogenitalIntramenstrual Bleeding Urinary Tract Infection|Fatigue|Weight Decrease|Face Edema|Central Nervous System|Insomnia|Headache|Anxiety|Dermatological|Acne|Rash|Digestive|Dyspepsia|Vomiting|Constipation|Diarrhea|SGPT Increased|Metabolic/Nutritional|Hypophosphatemia|Respiratory|Upper Respiratory Tract Infection|Rhinitis|Special Senses|Diplopia|Otitis Media|Urogenital|Intramenstrual Bleeding|Urinary Tract Infection|Diplopia Otitis Media|Central Nervous System Insomnia Headache Anxiety|Dermatological Acne Rash|Digestive Dyspepsia Vomiting Constipation Diarrhea SGPT Increased|Respiratory Upper Respiratory Tract Infection Rhinitis|Special Senses Diplopia Otitis Media|Urogenital Intramenstrual Bleeding Urinary Tract Infection|Metabolic / Nutritional"
"Felbatol","Central Nervous System Insomnia Headache Anxiety|Dermatological Acne Rash|Digestive Dyspepsia Vomiting Constipation Diarrhea SGPT Increased|Metabolic/Nutritional Hypophosphatemia|Respiratory Upper Respiratory Tract Infection Rhinitis|Special Senses Diplopia Otitis Media|Urogenital Intramenstrual Bleeding Urinary Tract Infection"
"Felodipine","Peripheral Edema|Asthenia|Warm Sensation|Cardiovascular|Palpitation|Digestive|Nausea|Dyspepsia|Constipation|Nervous|Headache|Dizziness|Paresthesia|Respiratory|Upper Respiratory Infection|Cough|Rhinorrhea|Sneezing|Skin|Rash|Flushing|â€¢Warm Sensation|â€¢Constipation"
"Femara","Hypercholesterolemia*|Hot flashes*|Arthralgia/arthritis*|Bone fractures1|Night sweats*|Weight increase*|Nausea*|Bone fractures**2|Fatigue (lethargy, malaise, asthenia)*|Myalgia*|Vaginal bleeding*|Edema*|Weight decrease|Osteoporosis**|Back pain|Bone pain|Depression|Vaginal irritation*|Headache*|Pain in extremity|Osteopenia*|Dizziness/light-headedness*|Alopecia|Vomiting*|Cataract*|Constipation*|Myocardial infarction1|Breast pain*|Anorexia*|Endometrial proliferation disorders*|Ovarian cyst*|Endometrial hyperplasia/cancer**1|Endometrial hyperplasia/cancer**,3|Other endometrial disorders*|Myocardial infarction**2|Myocardial ischemia|Cerebrovascular accident/TIA**1|Cerebrovascular accident/TIA**2|Angina requiring surgery**1|Angina requiring surgery**2|Thromboembolic event**1|Thromboembolic event**2|Cardiac failure1|Cardiac failure2|Hypertension1|Hypertension2|Other cardiovascular**1|Other cardiovascular**2|Second primary malignancy1|Second primary malignancy2"
"Femring","Headache (NOS)|Intermenstrual Bleeding|Vaginal Candidiasis|Breast Tenderness|Back Pain|Abdominal Distension|Sinusitis (NOS)|Uterine Pain|Urinary Tract Infection (NOS)"
"Fenofibrate","Abdominal Pain|Back Pain|Headache|Nausea|Constipation|Abnormal Liver Function Tests|Increased ALT|Increased CPK|Increased AST|Respiratory Disorder|Rhinitis|DIGESTIVE|RESPIRATORY|METABOLIC AND NUTRITIONAL DISORDERS|Asthenia|Flu Syndrome|Liver Function Test Abnormal|Diarrhea|SGPT Increased|Creatine Phophokinase Increased|SGOT Increased|Increased Creatine Phosphokinase|Abdominal pain|Back pain|Nausea Constipation|Abnormal Liver Tests|Creatine Phosphokinase Increased|Liver Function Tests Abnormal|Digestive|Metabolic and Nutritional Disorders|Respiratory|METABOLISM AND NUTRITIONAL DISORDERS|SPGT Increased|a Dosage equivalent to 145 mg fenofibrate"
"Fenofibric Acid","Abdominal Pain|Back Pain|Headache|DIGESTIVE|Nausea|Constipation|INVESTIGATIONS|Abnormal Liver Tests|Increased AST|Increased ALT|Increased Creatine Phosphokinase|RESPIRATORY|Respiratory Disorder|Rhinitis|Abnormal Liver Function Tests|METABOLIC AND NUTRITIONAL DISORDERS|Increased CPK"
"Fenofibric Acid Delayed-release","Abdominal Pain|Back Pain|Headache|DIGESTIVE|Nausea|Constipation|INVESTIGATIONS|Abnormal Liver Tests|Increased AST|Increased ALT|Increased Creatine Phosphokinase|RESPIRATORY|Respiratory Disorder|Rhinitis"
"Fenoglide","Abdominal Pain|Back Pain|Headache|DIGESTIVE|Nausea|Constipation|METABOLIC AND NUTRITIONAL DISORDERS|Abnormal Liver Tests|Increased AST|Increased ALT|Increased Creatine Phosphokinase|RESPIRATORY|Respiratory Disorder|Rhinitis"
"Fenovar","Treatment Group:|Dry Skin (Application Site)|Contact Dermatitis (Application Site)|Dyspepsia|Abdominal Pain|Flatulence|Pruritus (Application Site)|Diarrhea|Nausea|Pharyngitis|Constipation|Edema|Rash (Non-Application Site)|Infection|Ecchymosis|Dry Skin (Non-Application Site)|Contact Dermatitis, vesicles (Application Site)|Paresthesia (Non-Application Site)|Accidental Injury|Pruritus (Non-Application Site)|Sinusitis|Halitosis|Application Site Reaction (not otherwise specified)"
"Fensolvi","Injection site pain|Nasopharyngitis|Pyrexia|Headache|Cough|Abdominal pain|Injection site erythema|Nausea|Constipation|Vomiting|Upper respiratory tract infection|Bronchospasm|Productive cough|Hot flush"
